"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Col1a1.6",1.51678562818343e-21,-1.5775916472121,0.075,0.283,4.24669640178797e-17,"6","Col1a1"
"Rab2a.5",1.53614437237334e-21,-0.386992617846602,0.654,0.761,4.30089701377088e-17,"6","Rab2a"
"Foxa2.6",1.54960826346151e-21,0.392517592906853,0.472,0.237,4.33859321603953e-17,"6","Foxa2"
"Ccp110",1.60747492648936e-21,0.299627249423434,0.248,0.071,4.50060829918492e-17,"6","Ccp110"
"Klf7.5",1.62279725861233e-21,-0.490246575163895,0.102,0.366,4.54350776466279e-17,"6","Klf7"
"Lmln",1.65799796358565e-21,0.203873149665641,0.154,0.023,4.64206269844709e-17,"6","Lmln"
"Gbas.1",1.74004609067734e-21,0.378839399581419,0.453,0.252,4.87178104467843e-17,"6","Gbas"
"Foxa1.5",1.74587920435037e-21,0.357772265690042,0.402,0.189,4.88811259634015e-17,"6","Foxa1"
"Rras.5",1.93563259141112e-21,-0.390252277954732,0.098,0.319,5.41938412943286e-17,"6","Rras"
"Sept4.6",2.02319282548469e-21,-0.861791346983582,0.051,0.281,5.66453527279204e-17,"6","Sept4"
"Arhgdia.5",2.04946100741835e-21,-0.429502367979641,0.61,0.767,5.73808092856989e-17,"6","Arhgdia"
"Glrx5.5",2.19120971507876e-21,0.41166826460691,0.748,0.554,6.13494896027751e-17,"6","Glrx5"
"Fam222a",2.39065526299294e-21,0.244504768872484,0.161,0.025,6.69335660532764e-17,"6","Fam222a"
"BC022687.4",2.44512296817839e-21,0.341581241674178,0.335,0.116,6.84585528630586e-17,"6","BC022687"
"Slc16a7",2.45294755952156e-21,0.213183209355745,0.173,0.026,6.86776257714846e-17,"6","Slc16a7"
"Gipc2.6",2.59645448381923e-21,0.453233174666417,0.567,0.289,7.26955326379708e-17,"6","Gipc2"
"Cmtm3.6",2.61367129027559e-21,-0.447508509360788,0.031,0.245,7.3177568785136e-17,"6","Cmtm3"
"Plch1",3.21208957903808e-21,0.160546389812533,0.126,0.029,8.99320840339082e-17,"6","Plch1"
"Slc4a5",3.25872392666252e-21,0.161555328910359,0.181,0.03,9.12377524986972e-17,"6","Slc4a5"
"Fam221a",3.63329193703224e-21,0.295432009961975,0.26,0.08,1.01724907653029e-16,"6","Fam221a"
"Aldoa.5",3.65815788549447e-21,0.417257178966292,0.866,0.702,1.02421104478074e-16,"6","Aldoa"
"Fam46c",3.69828220055024e-21,0.147716260385799,0.173,0.026,1.03544505051006e-16,"6","Fam46c"
"Gnai2.4",3.73036767753955e-21,-0.611080470033578,0.614,0.782,1.04442834235752e-16,"6","Gnai2"
"Hn1.5",3.88836174838355e-21,-0.569757367123283,0.406,0.61,1.08866352231243e-16,"6","Hn1"
"Rhoa.5",4.38632715892081e-21,-0.481976812599123,0.803,0.879,1.22808387795465e-16,"6","Rhoa"
"Pde4b.5",4.58351610463697e-21,-0.450719418477864,0.02,0.23,1.28329283897626e-16,"6","Pde4b"
"Gm13889.5",4.68951669165435e-21,-0.794669936827426,0.031,0.247,1.31297088332938e-16,"6","Gm13889"
"Fermt1.1",4.77625423292391e-21,0.256457808511592,0.197,0.066,1.33725566013404e-16,"6","Fermt1"
"Lgals9.4",5.2498590418327e-21,-0.380518506726972,0.079,0.315,1.46985553453232e-16,"6","Lgals9"
"Pfn2.5",5.29950422807866e-21,0.391435290229292,0.409,0.193,1.48375519377746e-16,"6","Pfn2"
"Sema3c.5",5.31348015280692e-21,-0.740211992694071,0.197,0.457,1.48766817318288e-16,"6","Sema3c"
"Rfx2",5.41712348245365e-21,0.240473660564522,0.189,0.058,1.51668623261737e-16,"6","Rfx2"
"Fbxw9.3",5.64283034852906e-21,0.340747212512654,0.382,0.172,1.57987964098117e-16,"6","Fbxw9"
"Cry2.2",5.82585691689344e-21,0.354186070054244,0.366,0.159,1.63112341959183e-16,"6","Cry2"
"Ccdc148",5.96328219406163e-21,0.197091784963888,0.138,0.025,1.66959974869338e-16,"6","Ccdc148"
"Cldn4.6",6.17667225142273e-21,0.42409500820313,0.461,0.191,1.72934469695334e-16,"6","Cldn4"
"Tgfb1.6",6.50038656077962e-21,-0.400814261075331,0.047,0.27,1.81997822928708e-16,"6","Tgfb1"
"2310030G06Rik.5",6.98934587971953e-21,0.351335252879226,0.445,0.22,1.95687705940387e-16,"6","2310030G06Rik"
