"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X11.5","X12"
"Cre15.g643550",10.5310504268604,10.1601892690736,9.58600458212545,8.96897992912776,8.37931731773246,8.15733664653894,7.77332348605035,7.29258014033862,7.15344485969657,7.57372510616983,8.06773345209939,8.32946117049091,8.47262617028089
"Cre16.g648100",0.637622744892334,1.79383611052913,2.00459832985474,1.91265724360587,2.14138594900688,2.18091505384545,2.50377896201747,2.87052096774814,3.10337532819139,3.51803058019877,3.62475111428498,3.40844875341301,3.46992064250322
"Cre16.g648350",1.83483768938764,0.384644675002465,0.360077931891945,0.338467667592384,0.260927401355103,0.437992231572186,0.587752719772685,0.977942800553961,1.31923852008441,2.55378472649989,3.10130837715473,3.27795891049799,3.65339951519097
"Cre16.g652050",2.30859868889391,2.77504599975622,3.07027972708507,3.04787678220826,2.71918568625593,2.73446106079238,2.91698138892414,2.800961739739,2.66217561458842,2.24936924631899,2.02305560787401,1.75216400523946,1.7218285194208
"Cre16.g652100",7.79538233014159,6.82641458523814,6.54337514245477,6.13548020225253,5.88622670867914,6.00044449909584,6.04849361253501,6.10057980742339,6.0319931314329,6.15960857577567,6.0251339199067,5.8819815765645,5.78564816070362
"Cre16.g653601",4.3444882725626,3.55293671131949,3.45665320019099,3.41277198553433,3.39075198790788,3.54725126918848,3.66440257271631,3.69443744781081,3.73343654728116,3.74924072843967,3.66250680155536,3.6018757303269,3.42958623379317
"Cre16.g654350",3.32400258990525,3.31616137591583,3.24350066956551,3.05287905217774,2.8530287482273,3.09925964921578,3.08270476015991,3.32569449917283,3.45154041111925,3.90300623122853,4.15675505954072,4.13513306091169,4.05362057105378
"Cre16.g655400",2.07071639546465,2.19636512464441,2.67649593542352,2.75480295409199,2.48098202649398,2.46366427665849,2.29689947082319,2.1704299460448,1.98663572686393,2.018514926055,2.09917163784013,1.76569696891244,2.0055688915945
"Cre16.g657550",5.2094206539639,2.58620975377081,2.05861354407556,2.22615802016225,2.67708289679325,2.75374272906677,3.18689978577136,3.43225156561369,4.18191686871329,5.1712945613372,5.61205955577481,5.84958841670457,5.87498036827353
"Cre16.g657850",5.3286219102826,5.11518404105984,5.07138603789565,4.87061370248759,4.62753565348013,4.96284533862913,4.99826900126137,5.18723481405762,5.16592580258229,5.4430549306201,5.41067573674719,5.1566046697286,5.18385385272581
"Cre16.g658750",0.18529418806172,0.203866715493966,0.592743002064039,0.856843508947779,1.28121280598031,1.63236128659447,1.83746079474565,1.74474320935205,1.76407309938864,2.01083002651022,1.99215795707352,1.99836384286407,2.00336758259312
"Cre16.g660800",5.20142997327618,5.30916549358969,5.1927840476702,5.06972771266865,5.08045752961854,5.43127776768472,5.49210202335385,5.58194989008668,5.43608090642986,5.25143777578229,5.07762546428231,4.79819872972751,4.85424823996719
"Cre16.g660850",5.49749552600501,4.8363576861561,4.40684814706548,4.1375120934268,3.46906219273251,3.79384691035726,3.76471078693922,3.73323280764418,3.70352559750144,4.26409785569751,4.46467035324643,4.38500934486717,4.45321211458901
